elo,name,date,year,color,id,Master_id
1567.5976006768587,Man City,2019-10-19T16:30:00Z,2019-20,#6CABDD,11.0,15.0
1483.811973763287,Man Utd,2019-10-20T15:30:00Z,2019-20,#DA291C,12.0,16.0
1650.6835413015467,Liverpool,2019-10-20T15:30:00Z,2019-20,#C8102E,10.0,13.0
1507.5046569473093,Sheffield Utd,2019-10-21T19:00:00Z,2019-20,#EE2737,15.0,20.0
1528.4299656111332,Arsenal,2019-10-21T19:00:00Z,2019-20,#EF0107,1.0,0.0
1429.0226313878225,Southampton,2019-10-25T19:00:00Z,2019-20,#D71920,16.0,21.0
1584.2999659580455,Leicester,2019-10-25T19:00:00Z,2019-20,#003090,9.0,12.0
1587.5323020618082,Man City,2019-10-26T11:30:00Z,2019-20,#6CABDD,11.0,15.0
1476.2805843934027,Aston Villa,2019-10-26T11:30:00Z,2019-20,#670E36,2.0,1.0
1478.1434182117368,Brighton,2019-10-26T14:00:00Z,2019-20,#0057B8,4.0,4.0
1430.9087127909893,Everton,2019-10-26T14:00:00Z,2019-20,#003399,8.0,8.0
1416.6198399724092,Watford,2019-10-26T14:00:00Z,2019-20,#FFEE00,18.0,23.0
1492.5643616159819,Bournemouth,2019-10-26T14:00:00Z,2019-20,#DA291C,3.0,2.0
1487.2036928485827,West Ham,2019-10-26T14:00:00Z,2019-20,#7A263A,19.0,25.0
1505.9328613286787,Sheffield Utd,2019-10-26T14:00:00Z,2019-20,#EE2737,15.0,20.0
1478.1249300135614,Burnley,2019-10-26T16:30:00Z,2019-20,#6C1D45,5.0,5.0
1588.8754447918616,Chelsea,2019-10-26T16:30:00Z,2019-20,#034694,6.0,6.0
1455.0711587239205,Newcastle,2019-10-27T14:00:00Z,2019-20,#241F20,13.0,17.0
1501.6321349760058,Wolves,2019-10-27T14:00:00Z,2019-20,#FDB913,20.0,26.0
1527.8424289247873,Arsenal,2019-10-27T16:30:00Z,2019-20,#EF0107,1.0,0.0
1520.8507524202016,Crystal Palace,2019-10-27T16:30:00Z,2019-20,#1B458F,7.0,7.0
1664.657875032148,Liverpool,2019-10-27T16:30:00Z,2019-20,#C8102E,10.0,13.0
1472.1968432482834,Spurs,2019-10-27T16:30:00Z,2019-20,#132257,17.0,22.0
1398.0780717378232,Norwich,2019-10-27T16:30:00Z,2019-20,#FFF200,14.0,18.0
1504.1619895619503,Man Utd,2019-10-27T16:30:00Z,2019-20,#DA291C,12.0,16.0
1518.3985682088971,Bournemouth,2019-11-02T12:30:00Z,2019-20,#DA291C,3.0,2.0
